,Sigla,Início Vigência,Fim Vigência,Subgrupo,Modalidade,Posto,Unidade,TUSD,TE
1,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul APE,Fora ponta,R$/kW,5.01,0.0
3,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta,R$/kW,5.01,0.0
5,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta,R$/MWh,16.67,0.0
7,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta seca,R$/MWh,16.67,144.52
9,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta úmida,R$/MWh,16.67,129.11
11,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul APE,Ponta,R$/kW,18.28,0.0
13,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta,R$/kW,18.28,0.0
15,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta,R$/MWh,16.67,0.0
17,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta seca,R$/MWh,16.67,249.08
19,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta úmida,R$/MWh,16.67,222.53
21,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul APE,Fora ponta,R$/kW,10.98,0.0
23,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta,R$/kW,10.98,0.0
25,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta,R$/MWh,16.67,0.0
27,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta seca,R$/MWh,16.67,144.52
29,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta úmida,R$/MWh,16.67,129.11
31,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul APE,Ponta,R$/kW,32.93,0.0
33,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta,R$/kW,32.93,0.0
35,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta,R$/MWh,16.67,0.0
37,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta seca,R$/MWh,16.67,249.08
39,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta úmida,R$/MWh,16.67,222.53
45,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde,Fora ponta seca,R$/MWh,16.67,144.52
47,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde,Fora ponta úmida,R$/MWh,16.67,129.11
49,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde APE,Não se aplica,R$/kW,10.98,0.0
51,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde,Não se aplica,R$/kW,10.98,0.0
53,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde,Ponta seca,R$/MWh,781.27,249.08
55,Amazonas Energia,2010-11-01,2011-10-31,A4,Verde,Ponta úmida,R$/MWh,781.27,222.53
73,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul APE,Fora ponta,R$/kW,5.66,0.0
75,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Fora ponta,R$/kW,5.66,0.0
76,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Fora ponta,R$/MWh,17.51,0.0
79,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Fora ponta seca,R$/MWh,17.51,159.71
81,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Fora ponta úmida,R$/MWh,17.51,142.68
83,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul APE,Ponta,R$/kW,20.66,0.0
85,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Ponta,R$/kW,20.66,0.0
86,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Ponta,R$/MWh,17.51,0.0
89,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Ponta seca,R$/MWh,17.51,275.26
91,Amazonas Energia,2011-11-01,2012-10-31,A3,Azul,Ponta úmida,R$/MWh,17.51,245.91
95,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul APE,Fora ponta,R$/kW,12.41,0.0
97,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Fora ponta,R$/kW,12.41,0.0
98,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Fora ponta,R$/MWh,17.51,0.0
101,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Fora ponta seca,R$/MWh,17.51,159.71
103,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Fora ponta úmida,R$/MWh,17.51,142.68
105,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul APE,Ponta,R$/kW,37.23,0.0
107,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Ponta,R$/kW,37.23,0.0
108,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Ponta,R$/MWh,17.51,0.0
111,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Ponta seca,R$/MWh,17.51,275.26
113,Amazonas Energia,2011-11-01,2012-10-31,A4,Azul,Ponta úmida,R$/MWh,17.51,245.91
121,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde,Fora ponta seca,R$/MWh,17.51,159.71
123,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde,Fora ponta úmida,R$/MWh,17.51,142.68
125,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde APE,Não se aplica,R$/kW,12.41,0.0
127,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde,Não se aplica,R$/kW,12.41,0.0
129,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde,Ponta seca,R$/MWh,882.01,275.26
131,Amazonas Energia,2011-11-01,2012-10-31,A4,Verde,Ponta úmida,R$/MWh,882.01,245.91
148,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul APE,Fora ponta,R$/kW,5.56,0.0
150,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Fora ponta,R$/kW,5.56,0.0
152,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Fora ponta,R$/MWh,8.07,0.0
154,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Fora ponta seca,R$/MWh,8.07,164.75
156,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Fora ponta úmida,R$/MWh,8.07,147.19
158,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul APE,Ponta,R$/kW,20.31,0.0
160,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Ponta,R$/kW,20.31,0.0
162,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Ponta,R$/MWh,8.07,0.0
164,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Ponta seca,R$/MWh,8.07,283.94
166,Amazonas Energia,2012-11-01,2013-01-23,A3,Azul,Ponta úmida,R$/MWh,8.07,253.67
170,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul APE,Fora ponta,R$/kW,12.2,0.0
172,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Fora ponta,R$/kW,12.2,0.0
174,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Fora ponta,R$/MWh,8.07,0.0
176,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Fora ponta seca,R$/MWh,8.07,164.75
178,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Fora ponta úmida,R$/MWh,8.07,147.19
180,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul APE,Ponta,R$/kW,36.59,0.0
182,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Ponta,R$/kW,36.59,0.0
184,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Ponta,R$/MWh,8.07,0.0
186,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Ponta seca,R$/MWh,8.07,283.94
188,Amazonas Energia,2012-11-01,2013-01-23,A4,Azul,Ponta úmida,R$/MWh,8.07,253.67
196,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde,Fora ponta seca,R$/MWh,8.07,164.75
198,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde,Fora ponta úmida,R$/MWh,8.07,147.19
200,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde APE,Não se aplica,R$/kW,12.2,0.0
202,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde,Não se aplica,R$/kW,12.2,0.0
204,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde,Ponta seca,R$/MWh,857.63,283.94
206,Amazonas Energia,2012-11-01,2013-01-23,A4,Verde,Ponta úmida,R$/MWh,857.63,253.67
224,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul APE,Fora ponta,R$/kW,5.34,0.0
226,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Fora ponta,R$/kW,5.34,0.0
228,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Fora ponta,R$/MWh,-43.88,0.0
230,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Fora ponta seca,R$/MWh,-43.88,162.66
232,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Fora ponta úmida,R$/MWh,-43.88,145.32
234,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul APE,Ponta,R$/kW,19.47,0.0
236,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Ponta,R$/kW,19.47,0.0
238,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Ponta,R$/MWh,-43.88,0.0
240,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Ponta seca,R$/MWh,-43.88,280.35
242,Amazonas Energia,2013-01-24,2013-10-31,A3,Azul,Ponta úmida,R$/MWh,-43.88,250.47
246,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul APE,Fora ponta,R$/kW,11.7,0.0
248,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Fora ponta,R$/kW,11.7,0.0
250,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Fora ponta,R$/MWh,-43.88,0.0
252,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Fora ponta seca,R$/MWh,-43.88,162.66
254,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Fora ponta úmida,R$/MWh,-43.88,145.32
256,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul APE,Ponta,R$/kW,35.09,0.0
258,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Ponta,R$/kW,35.09,0.0
260,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Ponta,R$/MWh,-43.88,0.0
262,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Ponta seca,R$/MWh,-43.88,280.35
264,Amazonas Energia,2013-01-24,2013-10-31,A4,Azul,Ponta úmida,R$/MWh,-43.88,250.47
272,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde,Fora ponta seca,R$/MWh,-43.88,162.66
274,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde,Fora ponta úmida,R$/MWh,-43.88,145.32
276,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde APE,Não se aplica,R$/kW,11.7,0.0
278,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde,Não se aplica,R$/kW,11.7,0.0
280,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde,Ponta seca,R$/MWh,770.89,280.35
282,Amazonas Energia,2013-01-24,2013-10-31,A4,Verde,Ponta úmida,R$/MWh,770.89,250.47
300,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul APE,Fora ponta,R$/kW,1.48,0.0
302,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul APE,Fora ponta,R$/MWh,9.04,0.0
304,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul,Fora ponta,R$/kW,1.48,0.0
306,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul,Fora ponta,R$/MWh,9.78,129.22
308,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul APE,Ponta,R$/kW,5.41,0.0
310,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul APE,Ponta,R$/MWh,9.04,0.0
312,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul,Ponta,R$/kW,5.41,0.0
314,Amazonas Energia,2013-11-01,2014-10-31,A3,Azul,Ponta,R$/MWh,9.78,221.24
318,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul APE,Fora ponta,R$/kW,4.77,0.0
320,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul APE,Fora ponta,R$/MWh,29.42,0.0
322,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul,Fora ponta,R$/kW,4.77,0.0
324,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul,Fora ponta,R$/MWh,30.16,129.22
326,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul APE,Ponta,R$/kW,14.32,0.0
328,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul APE,Ponta,R$/MWh,29.42,0.0
330,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul,Ponta,R$/kW,14.32,0.0
332,Amazonas Energia,2013-11-01,2014-10-31,A4,Azul,Ponta,R$/MWh,30.16,221.24
340,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde APE,Fora ponta,R$/MWh,29.42,0.0
342,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde,Fora ponta,R$/MWh,30.16,129.22
344,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde APE,Não se aplica,R$/kW,4.77,0.0
346,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde,Não se aplica,R$/kW,4.77,0.0
348,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde APE,Ponta,R$/MWh,374.83,0.0
350,Amazonas Energia,2013-11-01,2014-10-31,A4,Verde,Ponta,R$/MWh,375.58,221.24
398,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul APE,Fora ponta,R$/kW,2.88,0.0
400,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul APE,Fora ponta,R$/MWh,14.03,0.0
402,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul,Fora ponta,R$/kW,2.88,0.0
404,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul,Fora ponta,R$/MWh,25.22,154.54
406,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul APE,Ponta,R$/kW,5.77,0.0
408,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul APE,Ponta,R$/MWh,14.03,0.0
410,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul,Ponta,R$/kW,5.77,0.0
412,Amazonas Energia,2014-11-01,2015-10-31,A3,Azul,Ponta,R$/MWh,25.22,259.63
416,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul APE,Fora ponta,R$/kW,5.66,0.0
418,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul APE,Fora ponta,R$/MWh,35.46,0.0
420,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul,Fora ponta,R$/kW,5.66,0.0
422,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul,Fora ponta,R$/MWh,46.65,154.54
424,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul APE,Ponta,R$/kW,13.89,0.0
426,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul APE,Ponta,R$/MWh,35.46,0.0
428,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul,Ponta,R$/kW,13.89,0.0
430,Amazonas Energia,2014-11-01,2015-10-31,A4,Azul,Ponta,R$/MWh,46.65,259.63
438,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde APE,Fora ponta,R$/MWh,35.46,0.0
440,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde,Fora ponta,R$/MWh,46.65,154.54
442,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde APE,Não se aplica,R$/kW,5.66,0.0
444,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde,Não se aplica,R$/kW,5.66,0.0
446,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde APE,Ponta,R$/MWh,371.95,0.0
448,Amazonas Energia,2014-11-01,2015-10-31,A4,Verde,Ponta,R$/MWh,383.14,259.63
496,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul APE,Fora ponta,R$/kW,3.62,0.0
498,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul APE,Fora ponta,R$/MWh,21.53,0.0
500,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul,Fora ponta,R$/kW,3.62,0.0
502,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul,Fora ponta,R$/MWh,26.53,245.75
504,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul APE,Ponta,R$/kW,6.29,0.0
506,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul APE,Ponta,R$/MWh,21.53,0.0
508,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul,Ponta,R$/kW,6.29,0.0
510,Amazonas Energia,2015-11-01,2016-10-31,A3,Azul,Ponta,R$/MWh,26.53,395.96
512,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul APE,Fora ponta,R$/kW,6.39,0.0
514,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul APE,Fora ponta,R$/MWh,48.9,0.0
516,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul,Fora ponta,R$/kW,6.39,0.0
518,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul,Fora ponta,R$/MWh,53.9,245.75
520,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul APE,Ponta,R$/kW,14.66,0.0
522,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul APE,Ponta,R$/MWh,48.9,0.0
524,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul,Ponta,R$/kW,14.66,0.0
526,Amazonas Energia,2015-11-01,2016-10-31,A4,Azul,Ponta,R$/MWh,53.9,395.96
532,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde APE,Fora ponta,R$/MWh,48.9,0.0
534,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde,Fora ponta,R$/MWh,53.9,245.75
536,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde APE,Não se aplica,R$/kW,6.39,0.0
538,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde,Não se aplica,R$/kW,6.39,0.0
540,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde APE,Ponta,R$/MWh,403.87,0.0
542,Amazonas Energia,2015-11-01,2016-10-31,A4,Verde,Ponta,R$/MWh,408.86,395.96
590,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul APE,Fora ponta,R$/kW,8.35,0.0
592,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Fora ponta,R$/kW,8.35,0.0
594,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Fora ponta,R$/MWh,18.21,0.0
596,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Fora ponta seca,R$/MWh,18.21,141.06
598,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Fora ponta úmida,R$/MWh,18.21,126.02
600,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul APE,Ponta,R$/kW,30.46,0.0
602,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Ponta,R$/kW,30.46,0.0
604,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Ponta,R$/MWh,18.21,0.0
606,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Ponta seca,R$/MWh,18.21,243.12
608,CEA Equatorial,2011-11-30,2012-11-29,A3,Azul,Ponta úmida,R$/MWh,18.21,217.2
610,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul APE,Fora ponta,R$/kW,10.23,0.0
612,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Fora ponta,R$/kW,10.23,0.0
614,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Fora ponta,R$/MWh,18.21,0.0
616,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Fora ponta seca,R$/MWh,18.21,141.06
618,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Fora ponta úmida,R$/MWh,18.21,126.02
620,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul APE,Ponta,R$/kW,30.59,0.0
622,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Ponta,R$/kW,30.59,0.0
624,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Ponta,R$/MWh,18.21,0.0
626,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Ponta seca,R$/MWh,18.21,243.12
628,CEA Equatorial,2011-11-30,2012-11-29,A3a,Azul,Ponta úmida,R$/MWh,18.21,217.2
634,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde,Fora ponta seca,R$/MWh,18.21,141.06
636,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde,Fora ponta úmida,R$/MWh,18.21,126.02
638,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde APE,Não se aplica,R$/kW,10.23,0.0
640,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde,Não se aplica,R$/kW,10.23,0.0
642,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde,Ponta seca,R$/MWh,728.49,243.12
644,CEA Equatorial,2011-11-30,2012-11-29,A3a,Verde,Ponta úmida,R$/MWh,728.49,217.2
646,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul APE,Fora ponta,R$/kW,10.24,0.0
648,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Fora ponta,R$/kW,10.24,0.0
650,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Fora ponta,R$/MWh,18.21,0.0
652,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Fora ponta seca,R$/MWh,18.21,141.06
654,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Fora ponta úmida,R$/MWh,18.21,126.02
656,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul APE,Ponta,R$/kW,30.72,0.0
658,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Ponta,R$/kW,30.72,0.0
660,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Ponta,R$/MWh,18.21,0.0
662,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Ponta seca,R$/MWh,18.21,243.12
664,CEA Equatorial,2011-11-30,2012-11-29,A4,Azul,Ponta úmida,R$/MWh,18.21,217.2
670,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde,Fora ponta seca,R$/MWh,18.21,141.06
672,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde,Fora ponta úmida,R$/MWh,18.21,126.02
674,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde APE,Não se aplica,R$/kW,10.24,0.0
676,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde,Não se aplica,R$/kW,10.24,0.0
678,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde,Ponta seca,R$/MWh,731.44,243.12
680,CEA Equatorial,2011-11-30,2012-11-29,A4,Verde,Ponta úmida,R$/MWh,731.44,217.2
699,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul APE,Fora ponta,R$/kW,12.23,0.0
701,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Fora ponta,R$/kW,12.23,0.0
702,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Fora ponta,R$/MWh,9.27,0.0
705,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Fora ponta seca,R$/MWh,9.27,179.96
707,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Fora ponta úmida,R$/MWh,9.27,160.77
709,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul APE,Ponta,R$/kW,36.55,0.0
711,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Ponta,R$/kW,36.55,0.0
712,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Ponta,R$/MWh,9.27,0.0
715,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Ponta seca,R$/MWh,9.27,310.16
717,CEA Equatorial,2012-11-30,2013-01-23,A3a,Azul,Ponta úmida,R$/MWh,9.27,277.1
723,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde,Fora ponta seca,R$/MWh,9.27,179.96
725,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde,Fora ponta úmida,R$/MWh,9.27,160.77
727,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde APE,Não se aplica,R$/kW,12.23,0.0
729,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde,Não se aplica,R$/kW,12.23,0.0
731,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde,Ponta seca,R$/MWh,858.08,310.16
733,CEA Equatorial,2012-11-30,2013-01-23,A3a,Verde,Ponta úmida,R$/MWh,858.08,277.1
735,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul APE,Fora ponta,R$/kW,12.23,0.0
737,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Fora ponta,R$/kW,12.23,0.0
738,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Fora ponta,R$/MWh,9.27,0.0
741,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Fora ponta seca,R$/MWh,9.27,179.96
743,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Fora ponta úmida,R$/MWh,9.27,160.77
745,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul APE,Ponta,R$/kW,36.68,0.0
747,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Ponta,R$/kW,36.68,0.0
748,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Ponta,R$/MWh,9.27,0.0
751,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Ponta seca,R$/MWh,9.27,310.16
753,CEA Equatorial,2012-11-30,2013-01-23,A4,Azul,Ponta úmida,R$/MWh,9.27,277.1
759,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde,Fora ponta seca,R$/MWh,9.27,179.96
761,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde,Fora ponta úmida,R$/MWh,9.27,160.77
763,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde APE,Não se aplica,R$/kW,12.23,0.0
765,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde,Não se aplica,R$/kW,12.23,0.0
767,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde,Ponta seca,R$/MWh,861.07,310.16
769,CEA Equatorial,2012-11-30,2013-01-23,A4,Verde,Ponta úmida,R$/MWh,861.07,277.1
787,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul APE,Fora ponta,R$/kW,14.12,0.0
789,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Fora ponta,R$/kW,14.12,0.0
790,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Fora ponta,R$/MWh,-122.63,0.0
793,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Fora ponta seca,R$/MWh,-122.63,178.35
795,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Fora ponta úmida,R$/MWh,-122.63,159.34
797,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul APE,Ponta,R$/kW,42.23,0.0
799,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Ponta,R$/kW,42.23,0.0
800,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Ponta,R$/MWh,-122.63,0.0
803,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Ponta seca,R$/MWh,-122.63,307.38
805,CEA Equatorial,2013-01-24,2013-11-29,A3a,Azul,Ponta úmida,R$/MWh,-122.63,274.62
811,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde,Fora ponta seca,R$/MWh,-122.63,178.35
813,CEA Equatorial,2013-01-24,2013-11-29,A3a,Verde,Fora ponta úmida,R$/MWh,-122.63,159.34
