id_subsistema,ear_data,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,verif_max_ratio
NE,2000-01-21,49967.0,16013.0,32.04999924,54.13970639753221
N,2000-01-21,12311.0,11004.0,89.37999725,54.13970639753221
SE/CO,2000-01-21,155759.0,41671.0,26.75,54.13970639753221
S,2000-01-21,13976.0,6631.0,47.45000076,54.13970639753221
NE,2000-01-22,49967.0,16287.0,32.59999847,54.13970639753221
N,2000-01-22,12311.0,11035.0,89.62999725,54.13970639753221
SE/CO,2000-01-22,155759.0,41968.0,26.94000053,54.13970639753221
S,2000-01-22,13976.0,6591.0,47.15999985,54.13970639753221
NE,2000-01-23,49967.0,16558.0,33.13999939,54.13970639753221
N,2000-01-23,12311.0,11087.0,90.05999756,54.13970639753221
SE/CO,2000-01-23,155759.0,42141.0,27.05999947,54.13970639753221
S,2000-01-23,13976.0,6597.0,47.20000076,54.13970639753221
NE,2000-01-24,49967.0,16705.0,33.43000031,54.13970639753221
N,2000-01-24,12311.0,11110.0,90.23999786,54.13970639753221
SE/CO,2000-01-24,155759.0,42110.0,27.04000092,54.13970639753221
S,2000-01-24,13976.0,6586.0,47.13000107,54.13970639753221
NE,2000-01-25,49967.0,16819.0,33.65999985,54.13970639753221
N,2000-01-25,12311.0,11146.0,90.52999878,54.13970639753221
SE/CO,2000-01-25,155759.0,42137.0,27.04999924,54.13970639753221
S,2000-01-25,13976.0,6575.0,47.04999924,54.13970639753221
NE,2000-01-26,49967.0,16845.0,33.70999908,54.13970639753221
N,2000-01-26,12311.0,11156.0,90.62000275,54.13970639753221
SE/CO,2000-01-26,155759.0,42252.0,27.12999916,54.13970639753221
S,2000-01-26,13976.0,6551.0,46.86999893,54.13970639753221
NE,2000-01-27,49967.0,17002.0,34.02999878,54.13970639753221
N,2000-01-27,12311.0,11183.0,90.83999634,54.13970639753221
SE/CO,2000-01-27,155759.0,42796.0,27.47999954,54.13970639753221
S,2000-01-27,13976.0,6517.0,46.63000107,54.13970639753221
NE,2000-01-28,49967.0,17021.0,34.06000137,54.13970639753221
N,2000-01-28,12311.0,11199.0,90.97000122,54.13970639753221
SE/CO,2000-01-28,155759.0,43579.0,27.97999954,54.13970639753221
S,2000-01-28,13976.0,6476.0,46.34000015,54.13970639753221
NE,2000-01-29,49967.0,17049.0,34.11999893,54.13970639753221
N,2000-01-29,12311.0,11225.0,91.18000031,54.13970639753221
SE/CO,2000-01-29,155759.0,44368.0,28.47999954,54.13970639753221
S,2000-01-29,13976.0,6465.0,46.25999832,54.13970639753221
NE,2000-01-30,49967.0,17254.0,34.52999878,54.13970639753221
N,2000-01-30,12311.0,11248.0,91.36000061,54.13970639753221
SE/CO,2000-01-30,155759.0,44945.0,28.86000061,54.13970639753221
S,2000-01-30,13976.0,6468.0,46.27999878,54.13970639753221
NE,2000-01-31,49967.0,17467.0,34.95999908,54.13970639753221
N,2000-01-31,12311.0,11214.0,91.08999634,54.13970639753221
SE/CO,2000-01-31,155759.0,45444.0,29.18000031,54.13970639753221
S,2000-01-31,13976.0,6471.0,46.29999924,54.13970639753221
NE,2000-02-01,49967.0,17560.0,35.13999939,54.13970639753221
N,2000-02-01,12311.0,11195.0,90.93000031,54.13970639753221
SE/CO,2000-02-01,155759.0,46146.0,29.62999916,54.13970639753221
S,2000-02-01,13976.0,6462.0,46.24000168,54.13970639753221
NE,2000-02-02,49967.0,18270.0,36.56000137,54.13970639753221
N,2000-02-02,12311.0,11223.0,91.16000366,54.13970639753221
SE/CO,2000-02-02,155759.0,47064.0,30.21999931,54.13970639753221
S,2000-02-02,13976.0,6439.0,46.06999969,54.13970639753221
NE,2000-02-03,49967.0,18615.0,37.25,54.13970639753221
N,2000-02-03,12311.0,11253.0,91.40000153,54.13970639753221
SE/CO,2000-02-03,155759.0,47911.0,30.76000023,54.13970639753221
S,2000-02-03,13976.0,6401.0,45.79999924,54.13970639753221
NE,2000-02-04,49967.0,19075.0,38.18000031,54.13970639753221
N,2000-02-04,12311.0,11255.0,91.41999817,54.13970639753221
SE/CO,2000-02-04,155759.0,48496.0,31.13999939,54.13970639753221
S,2000-02-04,13976.0,6344.0,45.38999939,54.13970639753221
NE,2000-02-05,49967.0,19417.0,38.86000061,54.13970639753221
N,2000-02-05,12311.0,11278.0,91.61000061,54.13970639753221
SE/CO,2000-02-05,155759.0,49177.0,31.56999969,54.13970639753221
S,2000-02-05,13976.0,6331.0,45.29999924,54.13970639753221
NE,2000-02-06,49967.0,19781.0,39.59000015,54.13970639753221
N,2000-02-06,12311.0,11354.0,92.22000122,54.13970639753221
SE/CO,2000-02-06,155759.0,49990.0,32.09000015,54.13970639753221
S,2000-02-06,13976.0,6353.0,45.45999908,54.13970639753221
NE,2000-02-07,49967.0,19974.0,39.97000122,54.13970639753221
N,2000-02-07,12311.0,11412.0,92.69999695,54.13970639753221
SE/CO,2000-02-07,155759.0,50791.0,32.61000061,54.13970639753221
S,2000-02-07,13976.0,6295.0,45.04000092,54.13970639753221
NE,2000-02-08,49967.0,20343.0,40.70999908,54.13970639753221
N,2000-02-08,12311.0,11440.0,92.91999817,54.13970639753221
SE/CO,2000-02-08,155759.0,51913.0,33.33000183,54.13970639753221
S,2000-02-08,13976.0,6220.0,44.50999832,54.13970639753221
NE,2000-02-09,49967.0,20712.0,41.45000076,54.13970639753221
N,2000-02-09,12311.0,11477.0,93.22000122,54.13970639753221
SE/CO,2000-02-09,155759.0,53034.0,34.04999924,54.13970639753221
S,2000-02-09,13976.0,6127.0,43.84000015,54.13970639753221
NE,2000-02-10,49967.0,21044.0,42.11999893,54.13970639753221
N,2000-02-10,12311.0,11537.0,93.70999908,54.13970639753221
SE/CO,2000-02-10,155759.0,54336.0,34.88000107,54.13970639753221
S,2000-02-10,13976.0,6060.0,43.36000061,54.13970639753221
NE,2000-02-11,49967.0,21483.0,42.99000168,54.13970639753221
N,2000-02-11,12311.0,11568.0,93.95999908,54.13970639753221
SE/CO,2000-02-11,155759.0,55600.0,35.70000076,54.13970639753221
S,2000-02-11,13976.0,5952.0,42.59000015,54.13970639753221
NE,2000-02-12,49967.0,21637.0,43.29999924,54.13970639753221
N,2000-02-12,12311.0,11599.0,94.20999908,54.13970639753221
