Hora;Submercado;1/8/2024;2/8/2024;3/8/2024;4/8/2024;5/8/2024;6/8/2024;7/8/2024;8/8/2024;9/8/2024;10/8/2024;11/8/2024;12/8/2024;13/8/2024;14/8/2024;15/8/2024;16/8/2024;17/8/2024;18/8/2024;19/8/2024;20/8/2024;21/8/2024;22/8/2024;23/8/2024;24/8/2024;25/8/2024;26/8/2024;27/8/2024;28/8/2024;29/8/2024;30/8/2024;31/8/2024
17;NORDESTE;81,01;79,7;107,66;104,72;131,79;128,8;140,45;131,33;128,51;131,04;124,13;293,73;126;127,7;128,1;129,07;117,24;114,74;207,9;124,46;118,91;129,26;135,87;121,76;111,06;129,5;130,06;122,76;128,19;130,49;302,16
17;NORTE;81,03;79,73;107,7;104,76;131,81;128,82;140,47;131,35;128,54;131,07;124,17;293,75;126,04;127,74;128,13;129,1;117,28;114,78;207,93;124,49;118,96;129,31;135,89;121,8;111,1;129,54;130,1;122,8;128,23;130,52;302,2
18;SUDESTE;88,69;81,21;121,87;114,04;131,78;142,1;451,86;146,85;131,05;153,87;129,27;498,2;132,15;161,66;135,64;207,85;145,12;122,89;1248,26;342,4;128,56;198,02;247,6;142,57;127,09;184,14;258,37;147,3;241,84;141,09;313,83
18;SUL;88,66;81,19;121,83;114;131,78;142,1;451,86;146,85;131,05;153,87;129,23;498,2;132,16;161,66;135,65;207,86;145,08;122,85;1248,26;342,4;128,56;198,02;247,6;142,57;127,05;184,14;258,37;147,3;241,84;141,09;313,81
18;NORDESTE;88,65;81,18;121,84;114,02;131,74;142,06;451,82;146,82;131,03;153,85;129,25;498,18;132,11;161,62;135,6;207,81;145,1;122,86;1248,22;342,36;122,9;151,6;247,57;142,55;127,07;184,1;142,77;142,6;145,99;141,05;313,81
18;NORTE;88,68;81,21;121,88;114,06;131,78;142,09;451,85;146,85;131,05;153,87;129,29;498,2;132,16;161,66;135,64;207,85;145,12;122,89;1248,26;342,4;128,56;198,02;247,6;142,57;127,11;184,14;258,37;147,3;241,84;141,09;313,85
19;SUDESTE;80,42;79,62;113,99;109,55;131,27;130,93;193,31;133,12;130,57;136,23;126,44;378,72;130,41;144,41;130,61;132,92;122,93;119,33;362,22;178,95;126,09;192,34;141,56;133,58;123,59;134,49;198,34;143,69;242,25;132,55;307,31
19;SUL;80,4;79,58;113,95;109,51;131,27;130,93;193,31;133,12;130,55;136,23;126,4;378,72;130,42;144,41;130,61;132,94;122,89;119,29;362,22;178,95;126,09;192,34;141,56;133,58;123,55;134,49;198,34;143,69;242,25;132,55;307,31
19;NORDESTE;80,38;79,58;113,97;95,1;131,23;130,89;193,26;133,08;130,55;136,21;126,42;378,7;130,37;144,37;130,57;132,88;122,89;119,29;362,18;178,91;111,54;133,29;141,52;133,56;123,57;134,45;110,57;122,66;125,21;132,51;307,29
19;NORTE;80,42;79,62;114,01;109,57;131,27;130,93;193,31;133,12;130,57;136,23;126,46;378,72;130,42;144,41;130,61;132,92;122,93;119,34;362,22;178,95;126,09;192,34;141,56;133,6;123,61;134,5;198,34;143,69;242,25;132,56;307,33
20;SUDESTE;79,44;76,5;104,07;105,24;128,71;128,91;136,11;130,08;125,67;132,7;123,61;308,93;126,33;129,86;128,26;128,57;115,81;115,97;127,69;119,19;119,93;125,51;118,85;123,36;112,51;128,72;129,76;128,26;130,1;122,56;301,28
20;SUL;79,4;76,46;104,03;105,2;128,69;128,91;136,11;130,06;125,63;132,7;123,59;308,93;126,33;129,88;128,28;128,58;115,77;115,93;127,69;119,19;119,93;125,51;118,85;123,32;112,47;128,72;129,76;128,26;130,1;122,54;301,28
20;NORDESTE;79,4;76,47;69,35;74,35;128,66;128,86;131,15;130,04;125,65;132,68;123,59;308,91;126,29;128,64;128,22;128,52;115,79;115,93;127,63;119,15;100,92;95,92;118,81;123,34;112,49;128,68;83,68;91,29;90,24;119,76;301,26
20;NORTE;79,44;76,52;104,09;105,26;128,71;128,91;136,11;130,08;125,69;132,7;123,63;308,93;126,34;129,86;128,27;128,57;115,83;115,98;127,69;119,2;119,93;125,51;118,86;123,38;112,53;128,73;129,77;128,27;130,11;122,58;301,3
21;SUDESTE;77,31;76,15;102,81;104,5;125,99;126,14;128,36;126,14;121,76;129,68;121,81;188,84;123,37;127,27;125,86;126,06;113,16;114,19;120,85;118,48;119,11;120,95;118,37;114,04;107,48;126,57;125,35;121,09;123,05;113,67;296,18
