id_subsistema,ena_data,ena_bruta_regiao_mwmed,ena_armazenavel_regiao_mwmed,month,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_percentualmlt,max,min
SE/CO,2000-01-16,46237.29296875,45977.44921875,1,70.20153872692212,69.8070210138955,110765.0,16210.0
N,2000-01-17,13254.76953125,4266.90722656,1,82.63624432165302,26.601834701126393,39296.8046875,1878.0
NE,2000-01-17,15215.69726563,15055.28027344,1,112.48273667331009,111.29684673508217,33141.0,1859.0
S,2000-01-17,3774.23388672,3774.23388672,1,50.34518519930487,50.34518519930487,30770.0,1490.37805176
SE/CO,2000-01-17,43833.8359375,43509.1875,1,66.55239815176289,66.059488243019,110765.0,16210.0
N,2000-01-18,13134.84277344,4208.37109375,1,81.88856652644685,26.23689390293843,39296.8046875,1878.0
NE,2000-01-18,15473.22851563,15272.1953125,1,114.38654819592314,112.900401064083,33141.0,1859.0
S,2000-01-18,3626.59399414,3626.59399414,1,48.37579009612932,48.37579009612932,30770.0,1490.37805176
SE/CO,2000-01-18,41375.921875,40942.875,1,62.82057610580835,62.16308612285386,110765.0,16210.0
N,2000-01-19,12916.30957031,4326.39306641,1,80.52613143290051,26.972696403695714,39296.8046875,1878.0
NE,2000-01-19,15177.92089844,14975.03710938,1,112.20347315426612,110.7036454814543,33141.0,1859.0
S,2000-01-19,3328.3269043,3328.3269043,1,44.39715169491926,44.39715169491926,30770.0,1490.37805176
SE/CO,2000-01-19,39544.6875,39118.30078125,1,60.04023446726305,59.392856521300594,110765.0,16210.0
N,2000-01-20,12590.24023438,4273.94921875,1,78.49326731963293,26.64573767399605,39296.8046875,1878.0
NE,2000-01-20,14756.04785156,14557.93554688,1,109.08475739557659,107.62020313887487,33141.0,1859.0
S,2000-01-20,3079.87207031,3079.87207031,1,41.08296794099201,41.08296794099201,30770.0,1490.37805176
SE/CO,2000-01-20,38274.05859375,37864.43359375,1,58.111053526027085,57.48912470072906,110765.0,16210.0
N,2000-01-21,12197.47265625,4177.13085938,1,76.04457611670759,26.042128114368623,39296.8046875,1878.0
NE,2000-01-21,14410.25097656,14217.49609375,1,106.52843821058995,105.1034889396428,33141.0,1859.0
S,2000-01-21,2888.29711914,2888.29711914,1,38.52751518271494,38.52751518271494,30770.0,1490.37805176
SE/CO,2000-01-21,38386.7578125,37969.21484375,1,58.28216342588474,57.64821284165248,110765.0,16210.0
N,2000-01-22,11815.609375,4138.85595703,1,73.66386724565209,25.803505015375833,39296.8046875,1878.0
NE,2000-01-22,13916.6953125,13727.05664063,1,102.87980543189467,101.47789289258482,33141.0,1859.0
S,2000-01-22,2669.63500977,2669.63500977,1,35.61074194535992,35.61074194535992,30770.0,1490.37805176
SE/CO,2000-01-22,37446.390625,37186.0078125,1,56.854414972370705,56.45907880708314,110765.0,16210.0
N,2000-01-23,11489.03417969,3878.45996094,1,71.62784937560136,24.180078285658553,39296.8046875,1878.0
NE,2000-01-23,13271.03710938,13090.16503906,1,98.10674768931199,96.76964265217924,33141.0,1859.0
S,2000-01-23,2648.25610352,2648.25610352,1,35.325564866562026,35.325564866562026,30770.0,1490.37805176
SE/CO,2000-01-23,36324.01953125,36150.1640625,1,55.150332126146964,54.8863694103671,110765.0,16210.0
N,2000-01-24,11212.53222656,3607.47705078,1,69.9040108056138,22.490647932442705,39296.8046875,1878.0
NE,2000-01-24,12664.3203125,12496.98730469,1,93.62156607013749,92.38454917070419,33141.0,1859.0
S,2000-01-24,2731.30395508,2731.30395508,1,36.43335510762367,36.43335510762367,30770.0,1490.37805176
SE/CO,2000-01-24,35170.69921875,34968.14453125,1,53.39925944468104,53.09172304222639,110765.0,16210.0
N,2000-01-25,11049.85546875,3444.80395508,1,68.88981012319923,21.476470081282656,39296.8046875,1878.0
NE,2000-01-25,11792.48925781,11596.81152344,1,87.17651519693001,85.72995861238958,33141.0,1859.0
S,2000-01-25,2918.69702148,2918.69702148,1,38.93302495218981,38.93302495218981,30770.0,1490.37805176
SE/CO,2000-01-25,34696.79296875,34450.140625,1,52.67973315267275,52.30524379678519,110765.0,16210.0
N,2000-01-26,11004.859375,3399.81689453,1,68.60928406894543,21.19600034409423,39296.8046875,1878.0
NE,2000-01-26,10726.32910156,10536.7890625,1,79.29487756879873,77.89369417703962,33141.0,1859.0
S,2000-01-26,3087.49389648,3087.49389648,1,41.18463685224728,41.18463685224728,30770.0,1490.37805176
SE/CO,2000-01-26,34900.9921875,34661.5390625,1,52.989766427604614,52.62620756097003,110765.0,16210.0
N,2000-01-27,11074.80761719,3469.77807617,1,69.04537313242217,21.63217007797035,39296.8046875,1878.0
NE,2000-01-27,9863.19726563,9662.74707031,1,72.91413606741705,71.4322988474282,33141.0,1859.0
S,2000-01-27,3094.52587891,3094.52587891,1,41.27843773167933,41.27843773167933,30770.0,1490.37805176
SE/CO,2000-01-27,34758.078125,34438.546875,1,52.772781685439966,52.287641142361515,110765.0,16210.0
N,2000-01-28,11224.64453125,3619.62792969,1,69.97952440600505,22.566402022014938,39296.8046875,1878.0
NE,2000-01-28,9226.26074219,9036.23339844,1,68.20555374003668,66.80076792611001,33141.0,1859.0
S,2000-01-28,2945.90698242,2945.90698242,1,39.295983519121826,39.295983519121826,30770.0,1490.37805176
SE/CO,2000-01-28,35918.2734375,35268.3359375,1,54.53429259863961,53.54750012774028,110765.0,16210.0
N,2000-01-29,11374.6953125,3750.93505859,1,70.91500902463957,23.385030211616655,39296.8046875,1878.0
NE,2000-01-29,8734.77832031,8539.19921875,1,64.57224749880609,63.126420061816454,33141.0,1859.0
S,2000-01-29,2778.93505859,2778.93505859,1,37.06871497122296,37.06871497122296,30770.0,1490.37805176
SE/CO,2000-01-29,38909.7734375,37929.7578125,1,59.076251905027284,57.58830569463983,110765.0,16210.0
N,2000-01-30,11498.25390625,3292.11303711,1,71.68532933214038,20.524525653028494,39296.8046875,1878.0
NE,2000-01-30,8592.79785156,8406.47167969,1,63.522650401784844,62.14522566994943,33141.0,1859.0
S,2000-01-30,2751.02905273,2723.54296875,1,36.69647173581087,36.329829913944515,30770.0,1490.37805176
SE/CO,2000-01-30,40176.5,39157.41015625,1,60.99950796359167,59.452235825913085,110765.0,16210.0
